anime_name,score,play_count,follow_count,release_time,cover_url
鬼灭之刃 柱训练篇,8.5,0.0万,1763.7万,全8话,https://i0.hdslb.com/bfs/bangumi/image/07a4ec8e2a95558a99859e1e374fe4b634e47aaf.png@240w_321h.webp
鬼灭之刃 刀匠村篇,8.5,0.0万,1659.1万,全13话,https://i0.hdslb.com/bfs/bangumi/image/6806055cb3a313ff70bb57f899ef49189e5d4c42.png@240w_321h.webp
鬼灭之刃 游郭篇,8.5,0.0万,1503.0万,全11话,https://i0.hdslb.com/bfs/bangumi/image/f641f81aa1933d73c91d5ef76b525acbcdbcf3e7.png@240w_321h.webp
鬼灭之刃,8.5,0.0万,1451.0万,全26话,https://i0.hdslb.com/bfs/bangumi/image/4179b4398bad6f92e876e352cae21be7b8ceb8bf.png@240w_321h.webp
鬼灭之刃 无限列车篇,8.5,0.0万,1448.4万,全7话,https://i0.hdslb.com/bfs/bangumi/image/7c100a22fe2e48c6eb9a739b4ed2999dd401dc8b.png@240w_321h.webp
间谍过家家 第三季,8.5,0.0万,1367.0万,nan,https://i0.hdslb.com/bfs/bangumi/image/92da93b86cca3c48cd91adb5ec87cf1513920feb.png@240w_321h.webp
剧场版 咒术回战 0,8.5,0.0万,1346.6万,全1话,https://i0.hdslb.com/bfs/bangumi/image/0082a5c243151ef989439578e745785268c58e7d.png@240w_321h.webp
咒术回战,8.5,0.0万,1332.5万,全24话,https://i0.hdslb.com/bfs/bangumi/image/91e9534cc55aa1a6dc959e7d6d33bde970208232.png@240w_321h.webp
咒术回战 第二季,8.5,0.0万,1294.9万,全23话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
间谍过家家,8.5,0.0万,1290.1万,全25话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
间谍过家家 第二季,8.5,0.0万,1258.2万,全12话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
关于我转生变成史莱姆这档事 第三季,8.5,0.0万,1046.8万,全24话,https://www.bilibili.com/anime/index/?from_spmid=666.4.index.0
紫罗兰永恒花园,8.5,0.0万,972.5万,全14话,https://i0.hdslb.com/bfs/bangumi/image/6565f297b31fb4a4a0337557033426930c3b88c0.png@240w_321h.webp
辉夜大小姐想让我告白 剧场版,8.5,0.0万,964.3万,nan,https://i0.hdslb.com/bfs/bangumi/image/9c730181da9d1e56c1ac6c345380ae619d781420.png@240w_321h.webp
间谍过家家 第二季 中配版,8.5,0.0万,952.9万,全12话,https://i0.hdslb.com/bfs/bangumi/image/db3f15b8e5a9eb21890447745ce1c8215a985d52.png@240w_321h.webp
辉夜大小姐想让我告白 -究极浪漫-,8.5,0.0万,943.8万,全13话,https://i0.hdslb.com/bfs/bangumi/image/ffe6ebdf6770e7975bf830bee73a03c79e81b690.png@240w_321h.webp
间谍过家家 中配版,8.5,0.0万,942.2万,全25话,https://i0.hdslb.com/bfs/bangumi/image/b35f2f8e9a445e1b7d1db1e9053ea0f70bd35527.png@240w_321h.webp
关于我转生变成史莱姆这档事 第二季,8.5,0.0万,919.9万,全26话,https://i0.hdslb.com/bfs/bangumi/image/fd492888df64bbc3b821dac5d516dbc1c2fe5f08.png@240w_321h.webp
工作细胞：细胞大作战,8.5,0.0万,899.6万,,https://i0.hdslb.com/bfs/bangumi/image/6f0e6f9218e4198fbd497379baf30ff2ef4eb92c.png@240w_321h.webp
冰菓,8.5,0.0万,892.9万,全23话,https://i0.hdslb.com/bfs/bangumi/074056b8543ed2ceb53dc13a79da1eafa3fa921a.jpg@240w_321h.webp
间谍过家家 粤配版,8.5,0.0万,889.5万,全25话,https://i0.hdslb.com/bfs/bangumi/image/63bbcd872b765f2d76fbc353193bb09f59ed48a1.png@240w_321h.webp
国王排名,8.5,0.0万,887.3万,全23话,https://i0.hdslb.com/bfs/bangumi/image/8aead7650fb3ded88f24654b7b66823169cb9a8c.png@240w_321h.webp
堀与宫村,8.5,0.0万,880.5万,全13话,https://i0.hdslb.com/bfs/bangumi/image/039c4e0b14e27c7a9e5cce2f20a6efd3c8909401.png@240w_321h.webp
小林家的龙女仆 第二季,8.5,0.0万,879.7万,全13话,https://i0.hdslb.com/bfs/bangumi/image/847e9dbb6876fb37a30199a5c88910704976d45b.png@240w_321h.webp
