"番剧名称","追番数","集数","上映时间"
".HACK//Quantum","2.9万追番","全3话","11年1月开播"
"[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL","65.3万追番","全11话","11年4月开播"
"「Free!」2020线上交响音乐会","9.6万追番","全1话","21年2月开播"
"「鬼灭之刃」交响音乐会～鬼灭之奏～","14.8万追番","全2话","22年4月开播"
"+TIC模型姐妹","56.7万追番","全12话","12年8月开播"
"×××HOLiC","220.8万追番","全24话","06年4月开播"
"×××HOLiC 仲夏夜之梦","24.2万追番","全1话","05年8月开播"
"×××HOLiC 笼","30.8万追番","全1话","10年4月开播"
"×××HOLiC 笼 徒梦","16.4万追番","全1话","11年3月开播"
"11eyes","31.8万追番","全12话","09年10月开播"
"18if 梦境异闻录","29.7万追番","全13话","17年7月开播"
"2.43清阴高中男子排球社","30.9万追番","全12话","21年1月开播"
"22/7","139.3万追番","全13话","20年1月开播"
"3年Z组银八老师","488.5万追番","全12话","25年10月开播"
"3月的狮子 第二季","71万追番","全22话","17年10月开播"
"ACCA13区监察课－Regards","20.9万追番","全1话","20年3月开播"
"Active Raid -机动强袭室第八课-","4.4万追番","全12话","16年1月开播"
"Active Raid -机动强袭室第八课- 2nd","4.3万追番","全12话","16年7月开播"
"AIR","174.6万追番","全12话","05年1月开播"
"AIR 剧场版","10.5万追番","全1话","05年2月开播"
"Akubi girl","4.3万追番","全26话","06年4月开播"
"ALDNOAH.ZERO","68万追番","全12话","14年7月开播"
"ALDNOAH.ZERO 第二季","22.7万追番","全12话","15年1月开播"
"Ange Vierge","76.1万追番","全12话","16年7月开播"
"Angel Beats!","318.4万追番","全13话","10年4月开播"
"Angels of Death","584.6万追番","全16话","18年7月开播"
"ANIMAYELL!","52.1万追番","全12话","18年10月开播"
"Anne Happy","91.1万追番","全12话","16年4月开播"
"ARGONAVIS from BanG Dream! 梦想协奏曲","13.4万追番","全13话","20年4月开播"
"AURA ～魔龙院光牙最后的战斗～","40.5万追番","全1话","13年4月开播"
"B-PROJECT～绝顶＊Emotion～","20.4万追番","全12话","19年1月开播"
"BALDR FORCE EXE RESOLUTION","2万追番","全4话","06年11月开播"
"BanG Dream! OVA","16.3万追番","全1话","17年8月开播"
"BanG Dream! 少女乐团派对☆PICO","30.8万追番","全26话","18年7月开播"
"BanG Dream! 梦想协奏曲 电影演唱会","53.4万追番","全1话","20年1月开播"
"BanG Dream! 梦想协奏曲 第三季","71.6万追番","更新至第13话","元组迷你动画开播"
"BanG Dream! 第二季","45.2万追番","全13话","19年1月开播"
"BECK","11.3万追番","全26话","04年10月开播"
"BEM","52.7万追番","全12话","19年7月开播"
"BLACK CAT","30.3万追番","全24话","05年10月开播"
"BLACK★ROCK SHOOTER OVA","22.8万追番","全1话","10年7月开播"
"BT21 UNIVERSE动画","11.2万追番","全9话","19年7月开播"
"BT21 UNIVERSE动画 第二季","12.3万追番","全15话","20年9月开播"
"BUDDY COMPLEX","55.8万追番","全13话","14年1月开播"
"Butlers～千年百年物语～","32.8万追番","全12话","18年4月开播"
"Caligula 卡里古拉","93.8万追番","全12话","18年4月开播"
"CANNON BUSTERS","19.6万追番","全12话","19年8月开播"
"CANVAS2 七彩的素描","10.4万追番","全24话","05年10月开播"
"CAROLE & TUESDAY","247.5万追番","全25话","19年4月开播"
"ChargeMan研","1.8万追番","全65话","73年7月开播"
"Charlotte","645.7万追番","全13话","15年7月开播"
"Charlotte SP","76.9万追番","全2话","15年6月开播"
"CLANNAD ～AFTER STORY～另一个世界 杏篇","61.8万追番","全1话","09年5月开播"
"Classica Loid 第二季","8.8万追番","全25话","17年10月开播"
"Classroom☆Crisis","49.8万追番","全13话","15年7月开播"
"Code Geass 亡国的阿基德","36.3万追番","全5话","12年8月开播"
"Code Geass 反叛的鲁路修 娜娜莉梦游仙境","32.9万追番","全1话","12年7月开播"
"Code:Realize ～创世的姬君～","82万追番","全12话","17年10月开播"
"Comic Girls","137.8万追番","全12话","18年4月开播"
"Concrete Revolutio 超人幻想 第一季","62.2万追番","全13话","15年10月开播"
"Concrete Revolutio 超人幻想 第二季","22.9万追番","全12话","16年4月开播"
"COP CRAFT","150.1万追番","全13话","19年7月开播"
"Crane Game Girls","6.8万追番","全12话","16年4月开播"
"Crane Game Girls 第二季","4.2万追番","全12话","16年10月开播"
"CROSS FIGHT 弹珠人","1.1万追番","全52话","11年10月开播"
"Dance with Devils","46.3万追番","全12话","15年10月开播"
"DARKER THAN BLACK -流星的双子-","46.7万追番","全12话","09年10月开播"
"DARKER THAN BLACK -黑之契约者-","192.1万追番","全26话","07年4月开播"
"DARKER THAN BLACK -黑之契约者- 外传","32.1万追番","全4话","10年1月开播"
"DEPTH OF FIELD ～ 爱与憎恨的剧场","49.7万追番","全7话","12年12月开播"
"DI GI CHARAT Nyo","1.5万追番","全50话","03年4月开播"
"Di Gi Charat Panyo Panyo","1万追番","全48话","02年1月开播"
"DOG DAYS","50.8万追番","全13话","11年4月开播"
"DOUBLE CIRCLE","2.3万追番","全4话","13年12月开播"
"Ｄｒ．ＳＴＯＮＥ 石纪元","388.2万追番","全24话","19年7月开播"
